order	mean	sd	month
20	0.026201602620751357	0.012329266933229025	24
1	1	0.20639133753890784	25
2	0.2745925323459215	0.16437950499186202	25
3	0.16830096288646562	0.09792320244340276	25
4	0.12548453705194226	0.06486846972666731	25
5	0.10276541084032635	0.04674146144333493	25
6	0.08856357461923554	0.03599713848087159	25
7	0.07869876021226935	0.029118825756882565	25
8	0.07135890135447218	0.02440437867842078	25
9	0.06563932432395891	0.020980867700927525	25
10	0.06103597286915331	0.018370079488838863	25
11	0.057243323667786665	0.016295856554529663	25
12	0.054063547190817476	0.014592980233230883	25
13	0.05136147047498097	0.013159992592238727	25
14	0.04904049346608717	0.011932919251477655	25
15	0.047028942741401	0.010870030918558374	25
16	0.04527197140823708	0.009942859996378627	25
17	0.04372655326579868	0.009130883488951864	25
18	0.0423582709174822	0.008418383828593931	25
19	0.041139178554121233	0.007792610327991582	25
20	0.04004632828335383	0.007242718737910409	25
1	0.9999999999999998	0.1953213851468796	26
2	0.3084343933247855	0.1560932401027538	26
3	0.20342368087811857	0.09614253654253233	26
4	0.1591211207295544	0.065653619554711	26
5	0.13492806696789514	0.04833476307867153	26
6	0.11965764971754742	0.037744759021174835	26
7	0.1090818355998936	0.030803657404956598	26
8	0.10128524296310071	0.025975770217801276	26
9	0.09527757021585313	0.022447741176424525	26
10	0.09049430226112022	0.019756955963340303	26
11	0.08658967500910697	0.01762513458717341	26
12	0.08333994267638468	0.015879277686137346	26
13	0.08059367230971103	0.014409926784193334	26
14	0.07824433312984841	0.013146902287354835	26
15	0.0762143845841005	0.012044420294764309	26
16	0.07444567355029806	0.011071800280982608	26
17	0.07289345022353791	0.010207672071777705	26
18	0.07152252885564064	0.009436398248826776	26
19	0.0703047536221824	0.008745892994092421	26
20	0.06921727719388776	0.008126312652144516	26
1	0.9999999999999998	0.2359408193969933	27
2	0.2770601722748965	0.1648176161576455	27
3	0.1711338500821413	0.09750968328070067	27
4	0.12906841040933914	0.06438285924474493	27
5	0.107413533936554	0.04630967227068707	27
6	0.09439368632312488	0.03589495979655246	27
7	0.08568626114337573	0.029611275372486315	27
8	0.07940135505822404	0.025684542331286562	27
9	0.07459691276577107	0.023158857836961116	27
10	0.07075472492472791	0.021485483696374923	27
11	0.06756835212568196	0.02033803546509487	27
12	0.06484655216928006	0.01951963696043627	27
13	0.06246484643559051	0.018910603737432127	27
14	0.06033935229928976	0.01843735180023387	27
15	0.05841182948406024	0.01805381272087943	27
16	0.0566407578023118	0.017730422107498242	27
17	0.05499582554471572	0.017447636079760593	27
18	0.05345442360476741	0.01719210949044864	27
19	0.0519993574836927	0.01695442405712258	27
20	0.05061731924231297	0.016727718260746337	27
1	0.9999999999999998	0.22342923488142152	28
